experiment_id,workload_name,workload_variant,fusion_level,num_fused_layers,arch_type,arch_name,fmem_size_kB,wmem_size_kB,gb_size_kB,pe_rows,pe_cols,tile_size,scale_bandwidth,success,error_message,energy_uJ,latency_cycles,edp,mops,utilization,mapping_time_s,mapping
resnet18_17layer_2026-02-21T09:34:33.402093,resnet18,17layer,full,17,eyeriss,thesis_arch,1056,524,128,4,4,1,False,False,"Arch: Eyeriss_Constrained_17L_tile1_4x4 -> Level: SARows_0: Failed to fit comp to arch because the level's constraint (S0: 4) does not divide comp dimension S0 (7) exactly. To compensate, consider setting 'Settings.PADDED_MAPPINGS' to True.",0.000e+00,0.000e+00,0.00e+00,0,0.0,0.0,
resnet18_17layer_2026-02-21T09:34:34.103088,resnet18,17layer,full,17,eyeriss,thesis_arch,1056,524,128,4,16,1,False,False,"Arch: Eyeriss_Constrained_17L_tile1_16x4 -> Level: SARows_0: Failed to fit comp to arch because the level's constraint (S0: 4) does not divide comp dimension S0 (7) exactly. To compensate, consider setting 'Settings.PADDED_MAPPINGS' to True.",0.000e+00,0.000e+00,0.00e+00,0,0.0,0.0,
resnet18_17layer_2026-02-21T09:34:34.561845,resnet18,17layer,full,17,eyeriss,thesis_arch,1056,524,128,4,32,1,False,False,"Arch: Eyeriss_Constrained_17L_tile1_32x4 -> Level: SARows_0: Failed to fit comp to arch because the level's constraint (S0: 4) does not divide comp dimension S0 (7) exactly. To compensate, consider setting 'Settings.PADDED_MAPPINGS' to True.",0.000e+00,0.000e+00,0.00e+00,0,0.0,0.0,
resnet18_17layer_2026-02-21T09:34:35.209212,resnet18,17layer,full,17,eyeriss,thesis_arch,1056,524,128,4,64,1,False,False,"Arch: Eyeriss_Constrained_17L_tile1_64x4 -> Level: SARows_0: Failed to fit comp to arch because the level's constraint (S0: 4) does not divide comp dimension S0 (7) exactly. To compensate, consider setting 'Settings.PADDED_MAPPINGS' to True.",0.000e+00,0.000e+00,0.00e+00,0,0.0,0.0,
resnet18_17layer_2026-02-21T09:34:35.791285,resnet18,17layer,full,17,eyeriss,thesis_arch,1056,524,128,4,128,1,False,False,"Arch: Eyeriss_Constrained_17L_tile1_128x4 -> Level: SARows_0: Failed to fit comp to arch because the level's constraint (S0: 4) does not divide comp dimension S0 (7) exactly. To compensate, consider setting 'Settings.PADDED_MAPPINGS' to True.",0.000e+00,0.000e+00,0.00e+00,0,0.0,0.0,
resnet18_17layer_2026-02-21T09:34:36.176233,resnet18,17layer,full,17,eyeriss,thesis_arch,1056,524,128,4,256,1,False,False,"Arch: Eyeriss_Constrained_17L_tile1_256x4 -> Level: SARows_0: Failed to fit comp to arch because the level's constraint (S0: 4) does not divide comp dimension S0 (7) exactly. To compensate, consider setting 'Settings.PADDED_MAPPINGS' to True.",0.000e+00,0.000e+00,0.00e+00,0,0.0,0.0,
resnet18_17layer_2026-02-21T09:34:36.696483,resnet18,17layer,full,17,eyeriss,thesis_arch,1056,524,128,4,512,1,False,False,"Arch: Eyeriss_Constrained_17L_tile1_512x4 -> Level: SARows_0: Failed to fit comp to arch because the level's constraint (S0: 4) does not divide comp dimension S0 (7) exactly. To compensate, consider setting 'Settings.PADDED_MAPPINGS' to True.",0.000e+00,0.000e+00,0.00e+00,0,0.0,0.0,
resnet18_17layer_2026-02-21T09:34:37.161624,resnet18,17layer,full,17,eyeriss,thesis_arch,1056,524,128,16,4,1,False,False,"Ill-posed constraints:
CONSTRAINTS VIOLATION: Arch: Eyeriss_Constrained_17L_tile1_4x16 -> Level: InRegister: memory footprint: 2584 VS memory available: 400
CONSTRAINTS VIOLATION: Arch: Eyeriss_Constrained_17L_tile1_4x16 -> Level: WRegister: memory footprint: 229032 VS memory available: 4000
CONSTRAINTS VIOLATION: Arch: Eyeriss_Constrained_17L_tile1_4x16 -> Level: IntermediateRegister: memory footprint: 840 VS memory available: 50
CONSTRAINTS VIOLATION: Arch: Eyeriss_Constrained_17L_tile1_4x16 -> Level: OutRegister: memory footprint: 128 VS memory available: 64",0.000e+00,0.000e+00,0.00e+00,0,0.0,0.0,
resnet18_17layer_2026-02-21T09:34:37.542694,resnet18,17layer,full,17,eyeriss,thesis_arch,1056,524,128,16,16,1,False,False,"Ill-posed constraints:
CONSTRAINTS VIOLATION: Arch: Eyeriss_Constrained_17L_tile1_16x16 -> Level: InRegister: memory footprint: 2584 VS memory available: 400
CONSTRAINTS VIOLATION: Arch: Eyeriss_Constrained_17L_tile1_16x16 -> Level: WRegister: memory footprint: 57258 VS memory available: 4000
CONSTRAINTS VIOLATION: Arch: Eyeriss_Constrained_17L_tile1_16x16 -> Level: IntermediateRegister: memory footprint: 210 VS memory available: 50",0.000e+00,0.000e+00,0.00e+00,0,0.0,0.0,
resnet18_17layer_2026-02-21T09:34:37.971944,resnet18,17layer,full,17,eyeriss,thesis_arch,1056,524,128,16,32,1,False,False,"Ill-posed constraints:
CONSTRAINTS VIOLATION: Arch: Eyeriss_Constrained_17L_tile1_32x16 -> Level: InRegister: memory footprint: 2584 VS memory available: 400
CONSTRAINTS VIOLATION: Arch: Eyeriss_Constrained_17L_tile1_32x16 -> Level: WRegister: memory footprint: 28629 VS memory available: 4000
CONSTRAINTS VIOLATION: Arch: Eyeriss_Constrained_17L_tile1_32x16 -> Level: IntermediateRegister: memory footprint: 105 VS memory available: 50",0.000e+00,0.000e+00,0.00e+00,0,0.0,0.0,
