experiment_id,workload_name,workload_variant,fusion_level,num_fused_layers,arch_type,arch_name,fmem_size_kB,wmem_size_kB,gb_size_kB,pe_rows,pe_cols,tile_size,scale_bandwidth,success,error_message,energy_uJ,latency_cycles,edp,mops,utilization,mapping_time_s,mapping
resnet18_s1b1_2026-02-22T08:46:26.794591,resnet18,s1b1,2layer,2,depfin,thesis_arch,52,4615,128,16,128,56,True,True,,9.644e+02,1.958e+05,3.58e+02,"(486848448, 235664128)",0.3828125,0.04720020294189453,DRAM[C0=1 X0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Z1=1 Q=1 Y0=112 P=56] FeatureMemory[C0=1 Y0=1 X0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Z1=1 P=1 Q=1] WeightMemory[Y0=1 X0=1 P=1 Q=1 Z1=4 C1=64 R1=3 S1=3 Z0=4 C0=3 R0=7 S0=7] SACols_1[Q=56] SARows_1[Z1=16] SACols_0[X0=112] SARows_0[Z0=16] WeightRegister[C1=1 R1=1 S1=1 C0=1 R0=1 S0=1 Y0=1 X0=1 Z0=1 Z1=1 P=1 Q=1] AccumulationIntermediateOutputRegister[Z0=1 Y0=1 X0=1 C0=1 R0=1 S0=1 C1=1 R1=1 S1=1 Z1=1 P=1 Q=1] AccumulationOutputRegister[Q=1 P=1 Z1=1 C0=1 Y0=1 X0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1] Compute] 
resnet18_s1b2_2026-02-22T08:46:29.296547,resnet18,s1b2,2layer,3,depfin,thesis_arch,52,4615,128,16,128,56,True,True,,1.443e+03,3.877e+05,1.06e+03,"(722817024, 348221440)",0.083740234375,0.05740785598754883,DRAM[C0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Z1=1 C2=1 R2=1 S2=1 Z2=1 Q=1 P=56 X1=1 Y1=56 X0=1 Y0=56] FeatureMemory[C0=1 Y0=1 X0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Y1=1 X1=1 Z1=1 C2=1 R2=1 S2=1 P=1 Q=1 Z2=1] WeightMemory[Y0=1 X0=1 Y1=1 X1=1 P=1 Q=1 Z2=4 C2=64 R2=3 S2=3 Z1=4 C1=64 R1=3 S1=3 Z0=4 C0=64 R0=3 S0=3] SACols_2[Q=56] SARows_2[Z2=16] SACols_1[X1=56] SARows_1[Z1=16] SACols_0[X0=56] SARows_0[Z0=16] WeightRegister[C2=1 R2=1 S2=1 C1=1 R1=1 S1=1 C0=1 R0=1 S0=1 Y0=1 X0=1 Z0=1 Y1=1 X1=1 Z1=1 P=1 Q=1 Z2=1] AccumulationIntermediateOutputRegister[Z1=1 Y1=1 X1=1 Z0=1 Y0=1 X0=1 C0=1 R0=1 S0=1 C1=1 R1=1 S1=1 C2=1 R2=1 S2=1 P=1 Q=1 Z2=1] AccumulationOutputRegister[Q=1 P=1 Z2=1 C0=1 Y0=1 X0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Y1=1 X1=1 Z1=1 C2=1 R2=1 S2=1] Compute] 
resnet18_s2b1_2026-02-22T08:46:31.945636,resnet18,s2b1,2layer,2,depfin,thesis_arch,52,4615,128,16,128,28,True,True,,1.451e+03,5.170e+05,1.41e+03,"(724891648, 348020736)",0.095703125,0.04768991470336914,DRAM[C0=1 X0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Z1=1 Q=1 Y0=56 P=28] FeatureMemory[C0=1 Y0=1 X0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Z1=1 P=1 Q=1] WeightMemory[Y0=1 X0=1 P=1 Q=1 Z1=8 C1=128 R1=3 S1=3 Z0=8 C0=64 R0=3 S0=3] SACols_1[Q=28] SARows_1[Z1=16] SACols_0[X0=56] SARows_0[Z0=16] WeightRegister[C1=1 R1=1 S1=1 C0=1 R0=1 S0=1 Y0=1 X0=1 Z0=1 Z1=1 P=1 Q=1] AccumulationIntermediateOutputRegister[Z0=1 Y0=1 X0=1 C0=1 R0=1 S0=1 C1=1 R1=1 S1=1 Z1=1 P=1 Q=1] AccumulationOutputRegister[Q=1 P=1 Z1=1 C0=1 Y0=1 X0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1] Compute] 
resnet18_s2b2_2026-02-22T08:46:33.575756,resnet18,s2b2,2layer,2,depfin,thesis_arch,52,4615,128,16,128,28,True,True,,9.868e+02,5.165e+05,9.53e+02,"(485826560, 231712768)",0.0478515625,0.04160499572753906,DRAM[C0=1 X0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Z1=1 Q=1 Y0=28 P=28] FeatureMemory[C0=1 Y0=1 X0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Z1=1 P=1 Q=1] WeightMemory[Y0=1 X0=1 P=1 Q=1 Z1=8 C1=128 R1=3 S1=3 Z0=8 C0=128 R0=3 S0=3] SACols_1[Q=28] SARows_1[Z1=16] SACols_0[X0=28] SARows_0[Z0=16] WeightRegister[C1=1 R1=1 S1=1 C0=1 R0=1 S0=1 Y0=1 X0=1 Z0=1 Z1=1 P=1 Q=1] AccumulationIntermediateOutputRegister[Z0=1 Y0=1 X0=1 C0=1 R0=1 S0=1 C1=1 R1=1 S1=1 Z1=1 P=1 Q=1] AccumulationOutputRegister[Q=1 P=1 Z1=1 C0=1 Y0=1 X0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1] Compute] 
resnet18_s3b1_2026-02-22T08:46:35.816365,resnet18,s3b1,2layer,2,depfin,thesis_arch,52,4615,128,16,128,14,True,True,,1.514e+03,1.033e+06,2.89e+03,"(733260800, 347418624)",0.02392578125,0.0974268913269043,DRAM[C0=1 X0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Z1=1 Q=1 Y0=28 P=14] FeatureMemory[C0=1 Y0=1 X0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Z1=1 P=1 Q=1] WeightMemory[Y0=1 X0=1 P=1 Q=1 Z1=16 C1=256 R1=3 S1=3 Z0=16 C0=128 R0=3 S0=3] SACols_1[Q=14] SARows_1[Z1=16] SACols_0[X0=28] SARows_0[Z0=16] WeightRegister[C1=1 R1=1 S1=1 C0=1 R0=1 S0=1 Y0=1 X0=1 Z0=1 Z1=1 P=1 Q=1] AccumulationIntermediateOutputRegister[Z0=1 Y0=1 X0=1 C0=1 R0=1 S0=1 C1=1 R1=1 S1=1 Z1=1 P=1 Q=1] AccumulationOutputRegister[Q=1 P=1 Z1=1 C0=1 Y0=1 X0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1] Compute] 
resnet18_s3b2_2026-02-22T08:46:37.918958,resnet18,s3b2,2layer,2,depfin,thesis_arch,52,4615,128,16,128,14,True,True,,1.067e+03,1.033e+06,1.99e+03,"(494768128, 231461888)",0.011962890625,0.047412872314453125,DRAM[C0=1 X0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Z1=1 Q=1 Y0=14 P=14] FeatureMemory[C0=1 Y0=1 X0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Z1=1 P=1 Q=1] WeightMemory[Y0=1 X0=1 P=1 Q=1 Z1=16 C1=256 R1=3 S1=3 Z0=16 C0=256 R0=3 S0=3] SACols_1[Q=14] SARows_1[Z1=16] SACols_0[X0=14] SARows_0[Z0=16] WeightRegister[C1=1 R1=1 S1=1 C0=1 R0=1 S0=1 Y0=1 X0=1 Z0=1 Z1=1 P=1 Q=1] AccumulationIntermediateOutputRegister[Z0=1 Y0=1 X0=1 C0=1 R0=1 S0=1 C1=1 R1=1 S1=1 Z1=1 P=1 Q=1] AccumulationOutputRegister[Q=1 P=1 Z1=1 C0=1 Y0=1 X0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1] Compute] 
resnet18_s4b1_2026-02-22T08:46:40.216225,resnet18,s4b1,2layer,2,depfin,thesis_arch,52,4615,128,16,128,7,True,True,,1.740e+03,2.065e+06,6.27e+03,"(752154112, 347117568)",0.0059814453125,0.037833213806152344,DRAM[C0=1 X0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Z1=1 Q=1 Y0=14 P=7] FeatureMemory[C0=1 Y0=1 X0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Z1=1 P=1 Q=1] WeightMemory[Y0=1 X0=1 P=1 Q=1 Z1=32 C1=512 R1=3 S1=3 Z0=32 C0=256 R0=3 S0=3] SACols_1[Q=7] SARows_1[Z1=16] SACols_0[X0=14] SARows_0[Z0=16] WeightRegister[C1=1 R1=1 S1=1 C0=1 R0=1 S0=1 Y0=1 X0=1 Z0=1 Z1=1 P=1 Q=1] AccumulationIntermediateOutputRegister[Z0=1 Y0=1 X0=1 C0=1 R0=1 S0=1 C1=1 R1=1 S1=1 Z1=1 P=1 Q=1] AccumulationOutputRegister[Q=1 P=1 Z1=1 C0=1 Y0=1 X0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1] Compute] 
resnet18_s4b2_2026-02-22T08:46:44.460965,resnet18,s4b2,2layer,2,depfin,thesis_arch,52,4615,128,16,128,7,True,True,,1.352e+03,2.065e+06,4.60e+03,"(514721792, 231336448)",0.00299072265625,0.11433148384094238,DRAM[C0=1 X0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Z1=1 Q=1 Y0=7 P=7] FeatureMemory[C0=1 Y0=1 X0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Z1=1 P=1 Q=1] WeightMemory[Y0=1 X0=1 P=1 Q=1 Z1=32 C1=512 R1=3 S1=3 Z0=32 C0=512 R0=3 S0=3] SACols_1[Q=7] SARows_1[Z1=16] SACols_0[X0=7] SARows_0[Z0=16] WeightRegister[C1=1 R1=1 S1=1 C0=1 R0=1 S0=1 Y0=1 X0=1 Z0=1 Z1=1 P=1 Q=1] AccumulationIntermediateOutputRegister[Z0=1 Y0=1 X0=1 C0=1 R0=1 S0=1 C1=1 R1=1 S1=1 Z1=1 P=1 Q=1] AccumulationOutputRegister[Q=1 P=1 Z1=1 C0=1 Y0=1 X0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1] Compute] 
resnet18_L0_conv1_2026-02-22T08:46:46.176293,resnet18,L0_conv1,single,1,depfin,thesis_arch,52,4615,128,16,128,7,True,True,,6.096e+01,6.690e+04,4.34e+00,"(10213504, 1709120)",0.875,0.06242799758911133,DRAM[M=1 P=112 Q=1 C=1 R=1 S=1] FeatureMemory[M=1 P=1 Q=1 C=1 R=1 S=1] WeightMemory[Q=1 P=1 M=4 C=3 R=7 S=7] SACols[Q=112] SARows[M=16] WeightRegister[C=1 R=1 S=1 M=1 P=1 Q=1] OutputRegister[M=1 Q=1 P=1 C=1 R=1 S=1] Compute] 
resnet18_L1_conv2_1_1_2026-02-22T08:46:50.650821,resnet18,L1_conv2_1_1,single,1,depfin,thesis_arch,52,4615,128,16,128,7,True,True,,3.825e+01,1.290e+05,5.94e+00,"(10186528, 731136)",0.4375,0.15239715576171875,DRAM[M=1 P=56 Q=1 C=1 R=1 S=1] FeatureMemory[M=1 P=1 Q=1 C=1 R=1 S=1] WeightMemory[Q=1 P=1 M=4 C=64 R=3 S=3] SACols[Q=56] SARows[M=16] WeightRegister[C=1 R=1 S=1 M=1 P=1 Q=1] OutputRegister[M=1 Q=1 P=1 C=1 R=1 S=1] Compute] 
